market,theme,asset,n_events,car_window,window_end,car_pct,t,p,pre_event_car_pct,post_event_car_pct,pre_share_of_move,post_only_t,p_fdr
us_recession_2026,growth,XLI,5,"[-5,-1]",-1,0.5852923247154479,0.38398855594809117,0.7205257567857473,0.5852923247154479,-0.8964146079964035,0.3950122063910665,-1.0295336075940804,0.8428511448266904
us_recession_2026,growth,XLI,5,"[-5,+0]",0,0.04119820387671426,0.027980529956649316,0.9790180246789508,0.5852923247154479,-0.8964146079964035,0.3950122063910665,-1.0295336075940804,0.9790180246789508
us_recession_2026,growth,XLI,5,"[-5,+1]",1,-0.3199274507313316,-0.20945988484778147,0.8443246363160024,0.5852923247154479,-0.8964146079964035,0.3950122063910665,-1.0295336075940804,0.8970949260857526
us_recession_2026,growth,XLI,5,"[-5,+3]",3,0.2612023004594428,0.13163565739865338,0.9016280457514045,0.5852923247154479,-0.8964146079964035,0.3950122063910665,-1.0295336075940804,0.9569830837201657
us_recession_2026,growth,XLI,5,"[-5,+5]",5,-0.311122283280956,-0.1371189573627573,0.8975616252449221,0.5852923247154479,-0.8964146079964035,0.3950122063910665,-1.0295336075940804,0.8975616252449221
us_recession_2026,growth,XLF,5,"[-5,-1]",-1,-0.35989627988939515,-0.6376354742113283,0.5583824582554766,-0.35989627988939515,0.6856813749664799,0.3442080826976014,0.7952204853973681,0.8428511448266904
us_recession_2026,growth,XLF,5,"[-5,+0]",0,-0.2477644585245384,-0.5391216382181587,0.6184095701291041,-0.35989627988939515,0.6856813749664799,0.3442080826976014,0.7952204853973681,0.8086894378611362
us_recession_2026,growth,XLF,5,"[-5,+1]",1,-1.0891174166445947,-2.624639573382296,0.05851397152726534,-0.35989627988939515,0.6856813749664799,0.3442080826976014,0.7952204853973681,0.37280668016601193
us_recession_2026,growth,XLF,5,"[-5,+3]",3,-0.692690959268695,-0.986917707783237,0.3795543239899941,-0.35989627988939515,0.6856813749664799,0.3442080826976014,0.7952204853973681,0.8245290293749346
us_recession_2026,growth,XLF,5,"[-5,+5]",5,0.3257850950770848,0.38192083031110935,0.721943049350152,-0.35989627988939515,0.6856813749664799,0.3442080826976014,0.7952204853973681,0.8928103527660355
us_recession_2026,growth,TLT,5,"[-5,-1]",-1,-0.14000386846232346,-0.21147938645421496,0.8428511448266904,-0.14000386846232346,-0.9125274852409523,0.13301634005460006,-1.895379795517238,0.8428511448266904
us_recession_2026,growth,TLT,5,"[-5,+0]",0,-0.412931513154176,-0.5743910081152739,0.5964608883479088,-0.14000386846232346,-0.9125274852409523,0.13301634005460006,-1.895379795517238,0.8086894378611362
us_recession_2026,growth,TLT,5,"[-5,+1]",1,-0.2887386157318855,-0.5965280389856964,0.5829429407867983,-0.14000386846232346,-0.9125274852409523,0.13301634005460006,-1.895379795517238,0.7078592852411123
us_recession_2026,growth,TLT,5,"[-5,+3]",3,-0.7849527212727876,-0.9676535086774001,0.38801366088232214,-0.14000386846232346,-0.9125274852409523,0.13301634005460006,-1.895379795517238,0.8245290293749346
us_recession_2026,growth,TLT,5,"[-5,+5]",5,-1.0525313537032754,-0.9648499708793219,0.3892581712798959,-0.14000386846232346,-0.9125274852409523,0.13301634005460006,-1.895379795517238,0.8928103527660355
us_recession_2026,growth,VIXY,5,"[-5,-1]",-1,0.9911320787867167,0.31396190342298297,0.769242274857711,0.9911320787867167,-4.596981035740745,0.17736435510048335,-2.8299048626739403,0.8428511448266904
