market,theme,asset,lag,n,p_prob_leads_market,p_market_leads_prob,p_prob_leads_market_fdr,p_market_leads_prob_fdr
us_recession_2026,growth,SPY,5,202,0.4861349379476372,0.5303337076252482,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,XLI,1,202,0.915028300176683,0.03708399988165165,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,XLI,2,202,0.9102524652151219,0.16617234764892175,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,XLI,3,202,0.9798280736969849,0.3205829800363136,0.9929392776912102,0.9914427486398933
us_recession_2026,growth,XLI,4,202,0.9910795801519435,0.37438352454633705,0.9929392776912102,0.9914427486398933
us_recession_2026,growth,XLI,5,202,0.905206667094922,0.5304705682239392,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,XLF,1,202,0.18176521849279223,0.975154930223672,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,XLF,2,202,0.40646990720399373,0.7890737478304253,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,XLF,3,202,0.5601226097658405,0.8789389655483633,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,XLF,4,202,0.641485118615295,0.85596276726898,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,XLF,5,202,0.7640167563696345,0.7625194946808624,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,TLT,1,202,0.2914386534828612,0.9336232452828082,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,TLT,2,202,0.22171666920433517,0.9642917509963647,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,TLT,3,202,0.41300494072645033,0.29532460339694727,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,TLT,4,202,0.30746255243781584,0.1514720208716729,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,TLT,5,202,0.36412730930532905,0.162347770805397,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,VIXY,1,202,0.10881603038037944,0.34009957215153547,0.9786128357930445,0.9914427486398933
